"id","museum_code","specimen_id","specimen_id_original","genus","species","subspecies","locus","found_title"
"AFMTDNA322","MZUSP","96754","MZUSP96754","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 96754 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA323","MZUSP","96755","MZUSP96755","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 96755 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA324","MZUSP","FRA258","MZUSPFRA258","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZUSP:81155 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA331","MCP","3306","MCP3306","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MCP<BRA>:3306 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA332","MCP","4053","MCP4053","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MCP<BRA>:4053 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA333","MCP","4843","MCP4843","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MCP<BRA>:4843 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA341","MZUSP","84352","MZUSP84352","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MZ 84352 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA343","MZUSP","81155","MZUSP81155","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZUSP:81155 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA344","UWBM","70760","UWBM70760","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher UWBM:70760 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA345","LBEM","LB3167","LBEMLB3167","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3167 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA346","LBEM","LB3654","LBEMLB3654","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3654 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA347","LBEM","LB3655","LBEMLB3655","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3655 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA348","LBEM","LB3718","LBEMLB3718","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3718 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA349","LBEM","LB3838","LBEMLB3838","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3838 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA350","LBEM","LB3847","LBEMLB3847","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB3847 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA351","LBEM","LB4273","LBEMLB4273","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB4273 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA352","LBEM","LB636","LBEMLB636","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB636 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA353","LGEMA","10274","LGEMA10274","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LGEMA10274 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA354","LBEM","LB739","LBEMLB739","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB739 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA355","LBEM","LB945","LBEMLB945","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB945 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA356","LBEM","LB719","LBEMLB719","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LB719 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA357","MG","51834","MPEGMG51834","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG51834 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA358","MG","51831","MPEGMG51831","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG51831 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA359","MG","51835","MPEGMG51835","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG51835 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA360","MG","52459","MPEGMG52459","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG52459 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA361","MG","51832","MPEGMG51832","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG51832 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA362","MG","51833","MPEGMG51833","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG51833 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA363","MG","52460","MPEGMG52460","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MG52460 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA364","FMNH","395424","FMNH395424","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate FMNH395424 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA365","LGEMA","1149","LGEMA1149","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LGEMA1149 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA366","LGEMA","11433","LGEMA11433","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA11433 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA367","LGEMA","1364","LGEMA1364","Syndactyla","rufosuperciliata","rufosuperciliata","cytb","Syndactyla rufosuperciliata isolate LGEMA1364 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA368","LGEMA","2155","LGEMA2155","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2155 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA369","LGEMA","2156","LGEMA2156","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2156 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA370","LGEMA","2168","LGEMA2168","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2168 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA371","LGEMA","2172","LGEMA2172","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2172 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA372","LGEMA","2129","LGEMA2129","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2129 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA373","LGEMA","2133","LGEMA2133","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate LGEMA2133 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA374","MACN","1990","MACN1990","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN1990 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA375","MACN","2022","MACN2022","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN2022 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA376","MACN","1659","MACN1659","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN1659 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA377","MACN","2487","MACN2487","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN2487 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA378","MACN","4491","MACN4491","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN4491 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA379","MACN","4492","MACN4492","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN4492 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA380","MACN","4530","MACN4530","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN4530 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA381","MACN","4389","MACN4389","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN4389 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA382","MACN","4996","MACN4996","Syndactyla","rufosuperciliata","acrita","cytb","Syndactyla rufosuperciliata isolate MACN4996 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA599",NA,"M49","B2952","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M49 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA600",NA,"M50","B2953","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M50 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA601",NA,"M43","B2400","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M43 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA602",NA,"M44","B2652","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M44 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA603",NA,"M45","B2655","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M45 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA604",NA,"M46","B2685","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M46 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA605",NA,"M47","B2692","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M47 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA606",NA,"M48","B2722","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M48 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA607",NA,"M15","13546","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M15 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA608",NA,"M39","B0721","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M39 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA609",NA,"M40","B0997","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M40 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA610",NA,"M81","4221","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M81 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA611",NA,"M54","1850","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M54 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA612",NA,"M60","2544","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M60 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA613",NA,"M42","B1784","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M42 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA614",NA,"M36","B0353","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M36 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA615",NA,"M37","B0360","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M37 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA616",NA,"M38","B0443","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M38 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA617",NA,"M14","13534","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M14 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA618",NA,"M30","MNT61","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M30 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA619",NA,"M31","MNT111","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M31 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA620",NA,"M32","MNT112","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M32 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA621",NA,"M33","MNT113","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M33 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA622",NA,"M34","MNT214","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M34 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA623",NA,"M82","4233","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M82 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA624",NA,"M83","4234","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M83 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA625",NA,"M9","1729","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M9 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA626",NA,"M7","1643","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M7 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA627",NA,"M8","1644","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M8 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA628",NA,"M35","DHF82","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M35 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA630",NA,"M1","1108","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M1 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA631",NA,"M11","2453","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M11 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA632",NA,"M16","13692","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M16 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA633",NA,"M12","12040","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M12 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA634",NA,"M13","12041","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M13 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA635",NA,"M23","15578","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M23 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA636",NA,"M24","15585","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M24 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA637",NA,"M25","15590","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M25 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA638",NA,"M26","15593","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M26 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA639",NA,"M27","15604","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M27 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA640",NA,"M28","15609","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M28 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA641",NA,"M2","1113","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M2 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA642",NA,"M3","1114","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M3 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA643",NA,"M4","1148","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M4 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA644",NA,"M10","2400","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M10 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA645",NA,"M5","1284","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M5 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA646",NA,"M6","1357","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M6 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA647",NA,"M18","14658","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M18 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA648",NA,"M19","14672","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M19 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA649",NA,"M20","14702","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M20 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA650",NA,"M21","14705","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M21 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA651",NA,"M22","14712","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M22 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA653",NA,"M87","17833","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M87 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA654",NA,"M88","17834","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M88 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA655",NA,"M89","17848","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M89 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA657",NA,"M17","14570","Mionectes","rufiventris",NA,"cytb","Mionectes rufiventris isolate M17 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA658",NA,"13716","13716","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13716 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA659",NA,"13717","13717","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13717 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA660",NA,"13727","13727","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13727 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA661",NA,"13732","13732","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13732 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA662",NA,"13733","13733","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13733 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA663",NA,"13532","13532","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13532 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA664",NA,"B1280","B1280","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher UFMG_B1280 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA665",NA,"12999","12999","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_12999 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA666",NA,"13001","13001","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13001 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA667",NA,"13002","13002","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13002 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA668",NA,"13003","13003","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13003 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA669",NA,"13004","13004","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13004 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA670",NA,"13005","13005","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher LGEMA_13005 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA671","MNT","291","MNT0291","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher MNT0291 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA672","MNT","296","MNT0296","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher MNT0296 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA673",NA,"137087","137087","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher ZMUC_137087 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA674",NA,"137115","137115","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher ZMUC_137115 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA675",NA,"137123","137123","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher ZMUC_137123 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA676",NA,"75","75","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher MZUSP_75 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA677",NA,"82","82","Rhopias","gularis",NA,"cytb","Myrmotherula gularis voucher MZUSP_82 cytochrome b (cytb) gene, partial cds; mitochondrial"
