accession,museum_code,specimen_id,specimen_id_original,voucher,taxon,genus,species,subspecies,otu,locality,province,country,locus,database,reference,longitude,latitude,elevation_m
HQ851181,LGEMA,13623,LGEMA13623,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851182,LGEMA,13624,LGEMA13624,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851183,LGEMA,13625,LGEMA13625,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851184,LGEMA,13626,LGEMA13626,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851274,LGEMA,10480,LGEMA10480,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851354,LGEMA,10480,LGEMA10480,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851177,LGEMA,10480,LGEMA10480,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851290,LGEMA,10424,LGEMA10424,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851288,LGEMA,10404,LGEMA10404,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851289,LGEMA,10412,LGEMA10412,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851243,LGEMA,13613,LGEMA13613,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851245,LGEMA,13615,LGEMA13615,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851244,LGEMA,13614,LGEMA13614,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851347,LGEMA,13613,LGEMA13613,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851348,LGEMA,13615,LGEMA13615,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851170,LGEMA,13613,LGEMA13613,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851171,LGEMA,13615,LGEMA13615,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851275,LGEMA,10481,LGEMA10481,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851286,LGEMA,10397,LGEMA10397,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851287,LGEMA,10399,LGEMA10399,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851285,LGEMA,10394,LGEMA10394,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851353,LGEMA,10394,LGEMA10394,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851176,LGEMA,10394,LGEMA10394,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851269,LGEMA,10460,LGEMA10460,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851270,LGEMA,10462,LGEMA10462,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851271,LGEMA,10469,LGEMA10469,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851351,LGEMA,10469,LGEMA10469,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851352,LGEMA,10471,LGEMA10471,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851349,LGEMA,10460,LGEMA10460,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851350,LGEMA,10462,LGEMA10462,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851172,LGEMA,10460,LGEMA10460,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851173,LGEMA,10462,LGEMA10462,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851174,LGEMA,10469,LGEMA10469,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851175,LGEMA,10471,LGEMA10471,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851273,LGEMA,10470,LGEMA10470,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Itatira, Serra do Machado, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851276,LGEMA,10519,LGEMA10519,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851277,LGEMA,10520,LGEMA10520,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851278,LGEMA,10521,LGEMA10521,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851279,LGEMA,10524,LGEMA10524,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851280,LGEMA,10525,LGEMA10525,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851284,LGEMA,10535,LGEMA10535,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851281,LGEMA,10531,LGEMA10531,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851363,LGEMA,10531,LGEMA10531,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851186,LGEMA,10531,LGEMA10531,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851283,LGEMA,10534,LGEMA10534,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851362,LGEMA,10534,LGEMA10534,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851185,LGEMA,10534,LGEMA10534,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851246,LGEMA,13616,LGEMA13616,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851355,LGEMA,13616,LGEMA13616,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851178,LGEMA,13616,LGEMA13616,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851247,LGEMA,13617,LGEMA13617,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851356,LGEMA,13617,LGEMA13617,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851179,LGEMA,13617,LGEMA13617,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851249,LGEMA,13618,LGEMA13618,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851357,LGEMA,13618,LGEMA13618,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851180,LGEMA,13618,LGEMA13618,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851250,LGEMA,13619,LGEMA13619,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851251,LGEMA,13620,LGEMA13620,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851252,LGEMA,13621,LGEMA13621,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851315,FMNH,392476,FMNH392476,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851305,LGEMA,1623,LGEMA1623,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Fazenda Nena, Bahia, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851343,LGEMA,1623,LGEMA1623,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Fazenda Nena, Bahia, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851166,LGEMA,1623,LGEMA1623,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Fazenda Nena, Bahia, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851314,LGEMA,13674,LGEMA13674,UFOP (MMC10),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha, Minas Gerais, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851339,LGEMA,13674,LGEMA13674,UFOP (MMC10),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha, Minas Gerais, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851162,LGEMA,13674,LGEMA13674,UFOP (MMC10),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha, Minas Gerais, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851267,UFMG,B1169,UFMG B1169,UFMG B1169,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851346,UFMG,B1169,UFMG B1169,UFMG B1169,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851169,UFMG,B1169,UFMG B1169,UFMG B1169,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851266,UFMG,B0763,UFMG B0763,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851341,UFMG,B0763,UFMG B0763,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851164,UFMG,B0763,UFMG B0763,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851268,UFMG,B0637,UFMG B0637,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851342,UFMG,B0637,UFMG B0637,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851165,UFMG,B0637,UFMG B0637,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851307,LGEMA,13668,LGEMA13668,MZUSP (23A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851308,LGEMA,13669,LGEMA13669,MZUSP (26A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851337,LGEMA,13669,LGEMA13669,MZUSP (26A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851160,LGEMA,13669,LGEMA13669,MZUSP (26A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851309,LGEMA,13670,LGEMA13670,MZUSP (51A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851344,LGEMA,13670,LGEMA13670,MZUSP (51A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851167,LGEMA,13670,LGEMA13670,MZUSP (51A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851310,LGEMA,13671,LGEMA13671,MZUSP (53A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851345,LGEMA,13671,LGEMA13671,MZUSP (53A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851168,LGEMA,13671,LGEMA13671,MZUSP (53A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851311,LGEMA,13672,LGEMA13672,MZUSP (54A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851338,LGEMA,13672,LGEMA13672,MZUSP (54A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851161,LGEMA,13672,LGEMA13672,MZUSP (54A),bird,Sclerurus,scansor,scansor,Sclerurus scansor,"EE Bananal, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851238,FMNH,395418,FMNH395418,FMNH395418,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Boracéia, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851340,FMNH,395418,FMNH395418,FMNH395418,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Boracéia, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851163,FMNH,395418,FMNH395418,FMNH395418,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Boracéia, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851233,LGEMA,821,LGEMA821,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851318,LGEMA,821,LGEMA821,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851141,LGEMA,821,LGEMA821,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851235,LGEMA,838,LGEMA838,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851319,LGEMA,838,LGEMA838,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851142,LGEMA,838,LGEMA838,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851237,LGEMA,848,LGEMA848,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851332,LGEMA,848,LGEMA848,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851155,LGEMA,848,LGEMA848,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851248,LGEMA,850,LGEMA850,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851260,LGEMA,906,LGEMA906,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851320,LGEMA,906,LGEMA906,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851143,LGEMA,906,LGEMA906,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851272,LGEMA,926,LGEMA926,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851333,LGEMA,926,LGEMA926,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851156,LGEMA,926,LGEMA926,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,cytb,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851306,LGEMA,1012,LGEMA1012,NA,bird,Sclerurus,scansor,scansor,Sclerurus scansor,"Morro Grande, São Paulo, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
