"","locality","province","country","full_loc","longitude","latitude","lat_loc_arcgis","long_loc_arcgis","lat_full_loc_arcgis","long_full_loc_arcgis","lat_loc_google","long_loc_google","lat_full_loc_google","long_full_loc_google"
"34","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"35","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"36","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"37","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"38","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"39","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"40","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"41","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"42","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"43","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"44","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"45","Itatira, Serra do Machado, Ceará, Brazil","","","Itatira, Serra do Machado, Ceará, Brazil",NA,NA,-4.49999999999994,-39.7499999999999,-4.49999999999994,-39.7499999999999,-4.5,-39.75,-4.5,-39.75
"46","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"47","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"48","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"49","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"50","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"51","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"52","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"53","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"54","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"55","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"56","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"57","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil","","","RPPN Serra das Almas, Jatobá Medonho, Ceará, Brazil",NA,NA,-6.21666999999997,-38.3666699999999,-6.21666999999997,-38.3666699999999,-5.1416868,-40.9162026,-5.1416868,-40.9162026
"58","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"59","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"60","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"61","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"62","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"63","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"64","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"65","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"66","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"67","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"68","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"69","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"70","Chapada do Araripe, Crato, Ceará, Brazil","","","Chapada do Araripe, Crato, Ceará, Brazil",NA,NA,-3.85981285231136,-38.6407040695074,-3.85981285231136,-38.6407040695074,-7.2299572,-39.4122984,-7.2299572,-39.4122984
"71","Fazenda Nena, Bahia, Brazil","","","Fazenda Nena, Bahia, Brazil",NA,NA,-12.9472851776103,-38.3822861092627,-12.9472851776103,-38.3822861092627,-11.4098737,-41.2808577,-11.4098737,-41.2808577
"72","Fazenda Nena, Bahia, Brazil","","","Fazenda Nena, Bahia, Brazil",NA,NA,-12.9472851776103,-38.3822861092627,-12.9472851776103,-38.3822861092627,-11.4098737,-41.2808577,-11.4098737,-41.2808577
"73","Fazenda Nena, Bahia, Brazil","","","Fazenda Nena, Bahia, Brazil",NA,NA,-12.9472851776103,-38.3822861092627,-12.9472851776103,-38.3822861092627,-11.4098737,-41.2808577,-11.4098737,-41.2808577
"74","Jequitinhonha, Minas Gerais, Brazil","","","Jequitinhonha, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.433269,-41.0037277,-16.433269,-41.0037277
"75","Jequitinhonha, Minas Gerais, Brazil","","","Jequitinhonha, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.433269,-41.0037277,-16.433269,-41.0037277
"76","Jequitinhonha, Minas Gerais, Brazil","","","Jequitinhonha, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.433269,-41.0037277,-16.433269,-41.0037277
"77","Jequitinhonha – MataEscura, Minas Gerais, Brazil","","","Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.3972655,-40.9758952,-16.3972655,-40.9758952
"78","Jequitinhonha – MataEscura, Minas Gerais, Brazil","","","Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.3972655,-40.9758952,-16.3972655,-40.9758952
"79","Jequitinhonha – MataEscura, Minas Gerais, Brazil","","","Jequitinhonha – MataEscura, Minas Gerais, Brazil",NA,NA,-16.43801,-41.01208,-16.43801,-41.01208,-16.3972655,-40.9758952,-16.3972655,-40.9758952
"80","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"81","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"82","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"83","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"84","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"85","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil","","","Araponga – PE Serra do Brigadeiro, Minas Gerais, Brazil",NA,NA,-20.90795,-42.3514699999999,-20.90795,-42.3514699999999,-20.7201979,-42.4794017,-20.7201979,-42.4794017
"86","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"87","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"88","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"89","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"90","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"91","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"92","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"93","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"94","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"95","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"96","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"97","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"98","EE Bananal, São Paulo, Brazil","","","EE Bananal, São Paulo, Brazil",NA,NA,-22.68382,-44.32373,-22.68382,-44.32373,-22.6836488,-44.3227583,-22.6836488,-44.3227583
"99","Boracéia, São Paulo, Brazil","","","Boracéia, São Paulo, Brazil",NA,NA,-22.19307,-48.7812499999999,-22.19307,-48.7812499999999,-22.1943942,-48.7780959,-22.1943942,-48.7780959
"100","Boracéia, São Paulo, Brazil","","","Boracéia, São Paulo, Brazil",NA,NA,-22.19307,-48.7812499999999,-22.19307,-48.7812499999999,-22.1943942,-48.7780959,-22.1943942,-48.7780959
"101","Boracéia, São Paulo, Brazil","","","Boracéia, São Paulo, Brazil",NA,NA,-22.19307,-48.7812499999999,-22.19307,-48.7812499999999,-22.1943942,-48.7780959,-22.1943942,-48.7780959
"102","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"103","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"104","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"105","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"106","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"107","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"108","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"109","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"110","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"111","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"112","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"113","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"114","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"115","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
"116","Morro Grande, São Paulo, Brazil","","","Morro Grande, São Paulo, Brazil",NA,NA,-23.3153799999999,-46.38213,-23.3153799999999,-46.38213,-23.6835824,-46.6684216,-23.6835824,-46.6684216
